"Year","Deaths from homicides and suicides in Australia"
"1915",9.166
"1916",7.971
"1917",7.104
"1918",6.621
"1919",7.529
"1920",8.171
"1921",8.157
"1922",7.379
"1923",7.921
"1924",8.157
"1925",8.856
"1926",8.817
"1927",8.734
"1928",9.346
"1929",8.993
"1930",10.785
"1931",8.887
"1932",8.819
"1933",8.824
"1934",9.165
"1935",8.653
"1936",8.173
"1937",7.563
"1938",7.596
"1939",8.381
"1940",7.216
"1941",6.54
"1942",6.239
"1943",5.487
"1944",5.759
"1945",5.993
"1946",7.475
"1947",7.349
"1948",7.303
"1949",7.119
"1950",6.994
"1951",6.958
"1952",7.596
"1953",8.088
"1954",7.556
"1955",7.315
"1956",7.893
"1957",8.859
"1958",8.839
"1959",8.015
"1960",7.873
"1961",8.93
"1962",10.501
"1963",12.611
"1964",11.418
"1965",11.872
"1966",11.061
"1967",12.043
"1968",9.776
"1969",9.557
"1970",9.203
"1971",10.224
"1972",9.351
"1973",8.301
"1974",8.366
"1975",8.134
"1976",7.66
"1977",8.075
"1978",7.849
"1979",7.998
"1980",7.397
"1981",7.9
"1982",8.101
"1983",7.899
"1984",7.6
"1985",8.101
"1986",9.002
"1987",10.299
"1988",10.102
"1989",10.699
"1990",9.698
"1991",9.801
"1992",10.9
"1993",10.698
"1994",9.297
"1995",10.397
"1996",10.901
"1997",12.901
"1998",13.099
"1999",11.698
"2000",11.1
"2001",11.302
"2002",10.702
"2003",10.099
"2004",9.591

Deaths from homicides and suicides in Australia

